level,source_id,route_family,predicate_label,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH2_frame_score_only,5,416,416,1287,46,0.035742035742035744,811,1.9495192307692308,811,2,0.002466091245376079
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH2_frame_score_only,10,416,416,1287,102,0.07925407925407925,1462,3.514423076923077,1462,2,0.0013679890560875513
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH2_frame_score_only,20,416,416,1287,245,0.19036519036519037,2797,6.7235576923076925,2797,26,0.009295673936360386
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH2_frame_score_only,50,416,416,1287,647,0.5027195027195027,6710,16.129807692307693,6710,329,0.04903129657228018
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH2_frame_score_only,100,416,416,1287,1002,0.7785547785547785,12756,30.66346153846154,12756,1723,0.13507369081216683
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH3_source_x_axis_swap_control,5,416,416,1287,9,0.006993006993006993,123,0.2956730769230769,123,82,0.6666666666666666
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH3_source_x_axis_swap_control,10,416,416,1287,27,0.02097902097902098,479,1.1514423076923077,479,367,0.7661795407098121
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH3_source_x_axis_swap_control,20,416,416,1287,90,0.06993006993006994,1833,4.40625,1833,1431,0.7806873977086743
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH3_source_x_axis_swap_control,50,416,416,1287,264,0.20512820512820512,6632,15.942307692307692,6632,5070,0.764475271411339
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH3_source_x_axis_swap_control,100,416,416,1287,506,0.39316239316239315,12820,30.817307692307693,12820,8726,0.6806552262090484
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH4_source_x_sign_flip_control,5,416,416,1287,6,0.004662004662004662,135,0.3245192307692308,135,134,0.9925925925925926
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH4_source_x_sign_flip_control,10,416,416,1287,12,0.009324009324009324,495,1.1899038461538463,495,493,0.9959595959595959
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH4_source_x_sign_flip_control,20,416,416,1287,43,0.03341103341103341,1899,4.564903846153846,1899,1873,0.9863085834649815
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH4_source_x_sign_flip_control,50,416,416,1287,153,0.11888111888111888,6627,15.930288461538462,6627,6298,0.950354609929078
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH4_source_x_sign_flip_control,100,416,416,1287,336,0.26107226107226106,12739,30.622596153846153,12739,11016,0.8647460554203626
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH5_axis_swap_only_control,5,416,416,1287,27,0.02097902097902098,721,1.7331730769230769,721,621,0.8613037447988904
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH5_axis_swap_only_control,10,416,416,1287,51,0.039627039627039624,1280,3.076923076923077,1280,1100,0.859375
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH5_axis_swap_only_control,20,416,416,1287,106,0.08236208236208237,2673,6.425480769230769,2673,2236,0.8365132809577254
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH5_axis_swap_only_control,50,416,416,1287,285,0.22144522144522144,6752,16.23076923076923,6752,5238,0.7757701421800948
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH5_axis_swap_only_control,100,416,416,1287,509,0.3954933954933955,12824,30.826923076923077,12824,8729,0.6806768558951966
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH6_sign_flip_only_control,5,416,416,1287,16,0.012432012432012432,807,1.9399038461538463,807,806,0.9987608426270136
