level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S0_source_score,50,True,548,66,224,142,0.6339285714285714,25582,46.68248175182482,25582,12378,0.4838558361347823
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S0_source_score,100,True,548,66,224,220,0.9821428571428571,44280,80.8029197080292,44280,21981,0.49640921409214095
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_current_source_x_Ce,5,True,548,66,224,15,0.06696428571428571,2738,4.9963503649635035,2738,7,0.002556610664718773
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_current_source_x_Ce,10,True,548,66,224,35,0.15625,5468,9.978102189781023,5468,75,0.01371616678858815
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_current_source_x_Ce,20,True,548,66,224,92,0.4107142857142857,10824,19.751824817518248,10824,429,0.039634146341463415
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_current_source_x_Ce,50,True,548,66,224,195,0.8705357142857143,25582,46.68248175182482,25582,4097,0.16015166914236573
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_current_source_x_Ce,100,True,548,66,224,224,1.0,44280,80.8029197080292,44280,17534,0.39598012646793135
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I1_hardneg_structured_source_x_Ce,5,True,548,30,98,1,0.01020408163265306,2738,4.9963503649635035,2738,4,0.0014609203798392988
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I1_hardneg_structured_source_x_Ce,10,True,548,30,98,16,0.16326530612244897,5468,9.978102189781023,5468,63,0.011521580102414046
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I1_hardneg_structured_source_x_Ce,20,True,548,30,98,47,0.47959183673469385,10824,19.751824817518248,10824,353,0.032612712490761274
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I1_hardneg_structured_source_x_Ce,50,True,548,30,98,93,0.9489795918367347,25582,46.68248175182482,25582,3556,0.13900398717848486
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I1_hardneg_structured_source_x_Ce,100,True,548,30,98,98,1.0,44280,80.8029197080292,44280,17179,0.38796296296296295
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I2_route_aware_source_x_Ce,5,True,548,30,98,2,0.02040816326530612,2738,4.9963503649635035,2738,6,0.002191380569758948
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I2_route_aware_source_x_Ce,10,True,548,30,98,15,0.15306122448979592,5468,9.978102189781023,5468,64,0.011704462326261888
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I2_route_aware_source_x_Ce,20,True,548,30,98,47,0.47959183673469385,10824,19.751824817518248,10824,358,0.033074648928307464
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I2_route_aware_source_x_Ce,50,True,548,30,98,93,0.9489795918367347,25582,46.68248175182482,25582,3580,0.13994214682198422
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I2_route_aware_source_x_Ce,100,True,548,30,98,98,1.0,44280,80.8029197080292,44280,17180,0.3879855465221319
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I4_calibrated_route_aware_source_x_Ce,5,True,548,30,98,3,0.030612244897959183,2738,4.9963503649635035,2738,5,0.0018261504747991235
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I4_calibrated_route_aware_source_x_Ce,10,True,548,30,98,27,0.2755102040816326,5468,9.978102189781023,5468,62,0.011338697878566204
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I4_calibrated_route_aware_source_x_Ce,20,True,548,30,98,53,0.5408163265306123,10824,19.751824817518248,10824,334,0.030857354028085735
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I4_calibrated_route_aware_source_x_Ce,50,True,548,30,98,98,1.0,25582,46.68248175182482,25582,3518,0.13751856774294427
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,I4_calibrated_route_aware_source_x_Ce,100,True,548,30,98,98,1.0,44280,80.8029197080292,44280,17174,0.38785004516711835
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S0_source_score,5,True,548,30,98,2,0.02040816326530612,2738,4.9963503649635035,2738,732,0.2673484295105917
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S0_source_score,10,True,548,30,98,13,0.1326530612244898,5468,9.978102189781023,5468,1786,0.3266276517922458
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S0_source_score,20,True,548,30,98,33,0.336734693877551,10824,19.751824817518248,10824,4371,0.40382483370288247
