level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,support_contact,lying on,M4_TxG_compatibility,1589,232,1357,0.47791782075064165,0.13680122648873866,0.46867614921352885,0.4472504804459658,0.2289335488667407,0.6474245641621365,73,512,845,159
predicate,relative_horizontal,right,M4_TxG_compatibility,4691,1713,2978,0.7684704372246053,0.5977072392109081,0.7401397953546871,0.7326037015960555,0.2024460448731839,0.7582242952668458,1234,715,2263,479
predicate,size_relative,smaller than,M4_TxG_compatibility,170,85,85,0.9995847750865052,0.999591138686712,0.9882352941176471,0.9882352941176471,0.06461815368025528,0.2705454857891379,84,1,84,1
predicate,support_contact,standing on,M4_TxG_compatibility,1589,1357,232,0.5198618910883541,0.8830575764222839,0.4643451579295098,0.4376826030047376,0.2377709909778711,0.6677955374740283,804,154,78,553
predicate,relative_horizontal,behind,C1_wrong_T_within_route,4691,1024,3667,0.33041367688164713,0.16390939364648066,0.3289906439613444,0.3248739171790116,0.45586771325097325,1.6362179936115322,263,2196,1471,761
predicate,size_relative,bigger than,C1_wrong_T_within_route,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073374895289195,1.6530517949194916,1,84,1,84
predicate,relative_horizontal,front,C1_wrong_T_within_route,4691,1024,3667,0.3304235303892828,0.16391168086177288,0.33269596229888193,0.32102369490780913,0.46586870974183403,1.6777116017978912,296,2287,1380,728
predicate,relative_vertical,higher than,C1_wrong_T_within_route,390,195,195,0.004786324786324786,0.3084572918210926,0.04358974358974359,0.04217283950617284,0.6561444084090154,2.5926879344820226,1,179,16,194
predicate,relative_horizontal,left,C1_wrong_T_within_route,4691,1713,2978,0.2311727919512502,0.24453895395034947,0.2693862796918598,0.27314827360268923,0.5236908114459842,1.9482908780624115,350,1982,996,1363
predicate,relative_vertical,lower than,C1_wrong_T_within_route,390,195,195,0.004523339907955293,0.3084059998337394,0.041025641025641026,0.039788287339372244,0.6499894502872114,2.5165665496108547,15,194,1,180
predicate,support_contact,lying on,C1_wrong_T_within_route,1589,232,1357,0.4801381089116459,0.12945752711420824,0.5356548420704902,0.40758077879038945,0.27653606865741,0.7498392847691626,154,804,553,78
