level,route_family,predicate_label,comparison,expectation,primary_view,baseline_view,primary_auroc,baseline_auroc,delta_auroc
route_family,size_relative,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.9995847750865052,0.5,0.49958477508650523
route_family,size_relative,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.9995847750865052,0.5,0.49958477508650523
route_family,size_relative,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.9995847750865052,0.0004152249134948097,0.9991695501730105
route_family,size_relative,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.9995847750865052,0.0070242214532871975,0.992560553633218
route_family,size_relative,ALL,M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_global,0.9995847750865052,0.5009515570934256,0.4986332179930796
route_family,size_relative,ALL,M4_vs_shuffled_G_within_family,expect_control_degrade,M4_TxG_compatibility,C4_shuffled_G_within_family,0.9995847750865052,0.5067647058823529,0.49282006920415233
route_family,size_relative,ALL,M4_vs_subject_object_swap,expect_control_degrade_when_directional,M4_TxG_compatibility,C5_subject_object_swap,0.9995847750865052,0.0004152249134948097,0.9991695501730105
route_family,size_relative,ALL,M4_vs_sign_flip,expect_control_degrade_when_signed,M4_TxG_compatibility,C6_sign_flip,0.9995847750865052,0.0004152249134948097,0.9991695501730105
route_family,size_relative,ALL,M4_vs_horizontal_frame_swap,expect_control_degrade_for_horizontal,M4_TxG_compatibility,C7_horizontal_frame_swap,0.9995847750865052,0.9995847750865052,0.0
route_family,support_contact,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.6317116456316851,0.16938668576165353,0.46232495987003164
route_family,support_contact,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.6317116456316851,0.5,0.13171164563168514
route_family,support_contact,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.6317116456316851,0.16939381469756876,0.4623178309341164
route_family,support_contact,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.6317116456316851,0.36828835436831486,0.2634232912633703
route_family,support_contact,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.6317116456316851,0.8254468159597864,-0.19373517032810128
route_family,support_contact,ALL,M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_global,0.6317116456316851,0.46597259874665387,0.16573904688503127
route_family,support_contact,ALL,M4_vs_shuffled_G_within_family,expect_control_degrade,M4_TxG_compatibility,C4_shuffled_G_within_family,0.6317116456316851,0.55971493761587,0.07199670801581515
route_family,support_contact,ALL,M4_vs_subject_object_swap,expect_control_degrade_when_directional,M4_TxG_compatibility,C5_subject_object_swap,0.6317116456316851,0.12094318990574358,0.5107684557259415
route_family,support_contact,ALL,M4_vs_sign_flip,expect_control_degrade_when_signed,M4_TxG_compatibility,C6_sign_flip,0.6317116456316851,0.12094318990574358,0.5107684557259415
route_family,support_contact,ALL,M4_vs_horizontal_frame_swap,expect_control_degrade_for_horizontal,M4_TxG_compatibility,C7_horizontal_frame_swap,0.6317116456316851,0.5832792392316433,0.04843240640004187
