source,condition,k,selected,satisfied,uncertain,violated,other_or_missing,violation_all,violation_all_ci95_low,violation_all_ci95_high,violation_decidable,violation_decidable_ci95_low,violation_decidable_ci95_high,uncertainty_rate,uncertainty_rate_ci95_low,uncertainty_rate_ci95_high,decidable_coverage,decidable_coverage_ci95_low,decidable_coverage_ci95_high,pessimistic_violation,pessimistic_violation_ci95_low,pessimistic_violation_ci95_high,status_coverage,status_coverage_ci95_low,status_coverage_ci95_high
vlsat_closed_set,pooled_calibration,5,2740,2370,366,4,0,0.00145985401459854,0.000364963503649635,0.00291970802919708,0.0016849199663016006,0.0004164887930056898,0.0034116231092918958,0.1335766423357664,0.11934306569343066,0.14927007299270073,0.8664233576642336,0.8507299270072993,0.8806569343065693,0.13503649635036497,0.12079379562043796,0.1510948905109489,1.0,1.0,1.0
vlsat_closed_set,pooled_calibration,10,5480,4687,754,39,0,0.007116788321167883,0.004562043795620438,0.010223540145985397,0.008252221752010156,0.005256407651370052,0.011974821365672019,0.1375912408759124,0.1264552919708029,0.14945255474452554,0.8624087591240875,0.8505474452554744,0.873544708029197,0.14470802919708028,0.13338959854014598,0.15675638686131388,1.0,1.0,1.0
vlsat_closed_set,pooled_calibration,20,10960,8873,1956,131,0,0.011952554744525548,0.009671532846715328,0.014598540145985401,0.014549089293647267,0.011812576232499124,0.017756273043628493,0.17846715328467153,0.16815693430656933,0.1884146897810219,0.8215328467153284,0.8115853102189781,0.8318430656934307,0.19041970802919708,0.17973996350364962,0.20036496350364963,1.0,1.0,1.0
vlsat_closed_set,pooled_calibration,50,27400,19774,6998,628,0,0.02291970802919708,0.020620437956204378,0.0254014598540146,0.030781295951377317,0.027775907505024674,0.03411809972607828,0.2554014598540146,0.24689416058394162,0.26361587591240876,0.7445985401459854,0.7363841240875912,0.7531058394160585,0.2783211678832117,0.26955930656934307,0.28686222627737223,1.0,1.0,1.0
vlsat_closed_set,pooled_calibration,100,54800,35107,17477,2216,0,0.04043795620437956,0.037572992700729925,0.043412864963503654,0.059373576614955924,0.05530828510521753,0.06374766409387803,0.3189233576642336,0.3118430656934307,0.3258225364963504,0.6810766423357664,0.6741774635036496,0.6881569343065693,0.35936131386861314,0.35240830291970804,0.36666286496350364,1.0,1.0,1.0
vlsat_closed_set,geometry_only_family,5,2740,2300,422,18,0,0.006569343065693431,0.0029105839416058397,0.010958029197080284,0.007765314926660914,0.0033633977221912458,0.01303873070791842,0.15401459854014599,0.1332116788321168,0.17555656934306568,0.845985401459854,0.8244434306569343,0.8667883211678832,0.16058394160583941,0.13904197080291972,0.18211678832116787,1.0,1.0,1.0
vlsat_closed_set,geometry_only_family,10,5480,4660,778,42,0,0.007664233576642336,0.004927007299270073,0.010948905109489052,0.00893236920459379,0.005710418738853066,0.01284842869189317,0.14197080291970804,0.127367700729927,0.15766879562043795,0.858029197080292,0.842331204379562,0.872632299270073,0.14963503649635038,0.13412408759124086,0.16570255474452555,1.0,1.0,1.0
vlsat_closed_set,geometry_only_family,20,10960,9413,1461,86,0,0.007846715328467153,0.00583941605839416,0.010310218978102189,0.009053584587851353,0.0067520770246137125,0.011883885520860255,0.1333029197080292,0.12235173357664234,0.14425638686131387,0.8666970802919708,0.8557436131386862,0.8776482664233577,0.14114963503649636,0.12974224452554745,0.15282846715328466,1.0,1.0,1.0
vlsat_closed_set,geometry_only_family,50,27400,23102,3816,482,0,0.01759124087591241,0.015255474452554745,0.019963503649635037,0.020437584803256446,0.017692731442788264,0.02322271243345799,0.13927007299270072,0.13226003649635037,0.14675638686131387,0.8607299270072992,0.8532436131386861,0.8677399635036497,0.15686131386861313,0.14930565693430656,0.16532846715328467,1.0,1.0,1.0
vlsat_closed_set,geometry_only_family,100,54800,44178,9397,1225,0,0.022354014598540146,0.020054744525547445,0.024708029197080292,0.026980595995859304,0.024168028576969126,0.029843730310527096,0.17147810218978102,0.16475501824817518,0.1789073905109489,0.828521897810219,0.821092609489051,0.8352449817518248,0.19383211678832116,0.1858389598540146,0.20222947080291973,1.0,1.0,1.0
vlsat_closed_set,rank_average_fusion,5,2740,2465,255,20,0,0.0072992700729927005,0.0036496350364963502,0.012043795620437956,0.008048289738430584,0.00403518785099706,0.013075654630064304,0.09306569343065693,0.0791970802919708,0.1072992700729927,0.906934306569343,0.8927007299270073,0.9208029197080292,0.10036496350364964,0.08576642335766424,0.11570255474452555,1.0,1.0,1.0
vlsat_closed_set,rank_average_fusion,10,5480,4811,609,60,0,0.010948905109489052,0.0072992700729927005,0.014963503649635036,0.012317799219872716,0.008300660738136399,0.016839688036497037,0.11113138686131387,0.10036496350364964,0.12226277372262774,0.8888686131386861,0.8777372262773723,0.8996350364963503,0.12208029197080292,0.1109352189781022,0.13412408759124086,1.0,1.0,1.0
vlsat_closed_set,rank_average_fusion,20,10960,9340,1436,184,0,0.016788321167883213,0.013777372262773722,0.01989279197080292,0.019319613607727847,0.015822856019476684,0.02292320365292906,0.13102189781021897,0.12253193430656935,0.13996578467153284,0.868978102189781,0.8600342153284671,0.8774680656934306,0.1478102189781022,0.13832116788321167,0.1573905109489051,1.0,1.0,1.0
