level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K,source_family_rows
primary_success_macro,ALL,PRIMARY,C2_source_x_wrong_T_Ce,100,,,,,0.9079880028934652,,,,,0.6371059246002015,4
primary_success_weighted,ALL,PRIMARY,S0_source_score,5,2192,235,882,304,0.34467120181405897,10956,4.998175182481752,10956,3234,0.29518072289156627,
all_weighted,ALL,ALL,S0_source_score,5,5480,2895,16970,4885,0.2878609310548026,27390,4.998175182481752,21910,6118,0.2792332268370607,
primary_success_macro,ALL,PRIMARY,S0_source_score,5,,,,,0.2771457140548527,,,,,0.29523248095205085,4
primary_success_weighted,ALL,PRIMARY,S0_source_score,10,2192,235,882,416,0.47165532879818595,21896,9.989051094890511,21896,6617,0.3022013153087322,
all_weighted,ALL,ALL,S0_source_score,10,5480,2895,16970,7121,0.41962286387743075,54696,9.98102189781022,43744,12643,0.2890224945135333,
primary_success_macro,ALL,PRIMARY,S0_source_score,10,,,,,0.4020694816388094,,,,,0.3023297793666135,4
primary_success_weighted,ALL,PRIMARY,S0_source_score,20,2192,235,882,567,0.6428571428571429,43568,19.875912408759124,43568,14969,0.3435778553066471,
all_weighted,ALL,ALL,S0_source_score,20,5480,2895,16970,9551,0.562816735415439,108816,19.856934306569343,86950,27743,0.31906843013225994,
primary_success_macro,ALL,PRIMARY,S0_source_score,20,,,,,0.572529733047065,,,,,0.3441666026024892,4
primary_success_weighted,ALL,PRIMARY,S0_source_score,50,2192,235,882,749,0.8492063492063492,105664,48.2043795620438,105664,44928,0.4251968503937008,
all_weighted,ALL,ALL,S0_source_score,50,5480,2895,16970,12428,0.7323512080141426,262416,47.886131386861315,208498,79643,0.3819844794674289,
primary_success_macro,ALL,PRIMARY,S0_source_score,50,,,,,0.7892613776279742,,,,,0.4269359089210518,4
primary_success_weighted,ALL,PRIMARY,S0_source_score,100,2192,235,882,878,0.9954648526077098,194040,88.52189781021897,194040,94069,0.4847917955060812,
all_weighted,ALL,ALL,S0_source_score,100,5480,2895,16970,14311,0.8433117265763111,466366,85.10328467153285,363278,156845,0.43174923887491123,
primary_success_macro,ALL,PRIMARY,S0_source_score,100,,,,,0.9955357142857143,,,,,0.48647978964146865,4
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,5,2192,235,882,16,0.018140589569160998,10956,4.998175182481752,10956,9,0.0008214676889375684,
all_weighted,ALL,ALL,S1_Ce_only,5,5480,2895,16970,932,0.05492044784914555,27390,4.998175182481752,21910,3700,0.16887266088544045,
primary_success_macro,ALL,PRIMARY,S1_Ce_only,5,,,,,0.014056776556776555,,,,,0.0008217677136596055,4
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,10,2192,235,882,56,0.06349206349206349,21896,9.989051094890511,21896,111,0.005069419071976617,
all_weighted,ALL,ALL,S1_Ce_only,10,5480,2895,16970,1463,0.08621096051856217,54696,9.98102189781022,43744,7648,0.17483540599853695,
primary_success_macro,ALL,PRIMARY,S1_Ce_only,10,,,,,0.05275095615169144,,,,,0.005074981711777615,4
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,20,2192,235,882,188,0.21315192743764172,43568,19.875912408759124,43568,662,0.015194638266617702,
all_weighted,ALL,ALL,S1_Ce_only,20,5480,2895,16970,2550,0.1502651738361815,108816,19.856934306569343,86950,15718,0.18077055779183437,
