source_id,subroute,K,comparison,RH1_Recall@K,baseline_Recall@K,delta_Recall@K,RH1_Violation@K,baseline_Violation@K,delta_Violation@K,recall_improved,violation_improved,recall_loss_abs,violation_reduction_abs
vlsat_full_validation,lateral_left_right,10,RH1_source_x_frame_score_minus_RH0_source_score,0.6444833625218914,0.6897256275539988,-0.045242265032107376,0.14087591240875913,0.23777372262773722,-0.09689781021897809,False,True,0.045242265032107376,0.09689781021897809
vlsat_full_validation,lateral_left_right,10,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.6444833625218914,0.5656742556917689,0.07880910683012254,0.14087591240875913,0.3266423357664234,-0.18576642335766425,True,True,0.0,0.18576642335766425
vlsat_full_validation,lateral_left_right,10,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.6444833625218914,0.5253940455341506,0.11908931698774083,0.14087591240875913,0.44452554744525546,-0.30364963503649633,True,True,0.0,0.30364963503649633
vlsat_full_validation,lateral_left_right,20,RH1_source_x_frame_score_minus_RH0_source_score,0.8450087565674256,0.8884997081144191,-0.04349095154699356,0.15885036496350366,0.2587591240875912,-0.09990875912408756,False,True,0.04349095154699356,0.09990875912408756
vlsat_full_validation,lateral_left_right,20,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.8450087565674256,0.7475189725627553,0.09748978400467023,0.15885036496350366,0.38786496350364963,-0.22901459854014597,True,True,0.0,0.22901459854014597
vlsat_full_validation,lateral_left_right,20,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.8450087565674256,0.7238762405137186,0.121132516053707,0.15885036496350366,0.4832116788321168,-0.3243613138686131,True,True,0.0,0.3243613138686131
vlsat_full_validation,lateral_left_right,50,RH1_source_x_frame_score_minus_RH0_source_score,0.963806187974314,0.9851138353765324,-0.021307647402218355,0.21691743119266055,0.34124770642201835,-0.1243302752293578,False,True,0.021307647402218355,0.1243302752293578
vlsat_full_validation,lateral_left_right,50,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.963806187974314,0.896964389959136,0.06684179801517809,0.21691743119266055,0.5205871559633027,-0.3036697247706422,True,True,0.0,0.3036697247706422
vlsat_full_validation,lateral_left_right,50,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.963806187974314,0.87594862813777,0.08785755983654409,0.21691743119266055,0.5884770642201835,-0.371559633027523,True,True,0.0,0.371559633027523
vlsat_full_validation,lateral_left_right,100,RH1_source_x_frame_score_minus_RH0_source_score,0.99241097489784,0.9953298307063632,-0.0029188558085231353,0.30976488433826316,0.46465680697762607,-0.1548919226393629,False,True,0.0029188558085231353,0.1548919226393629
vlsat_full_validation,lateral_left_right,100,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.99241097489784,0.9600116754232341,0.03239929947460596,0.30976488433826316,0.5782897231702693,-0.2685248388320061,True,True,0.0,0.2685248388320061
vlsat_full_validation,lateral_left_right,100,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.99241097489784,0.9524226503210741,0.03998832457676593,0.30976488433826316,0.6654721274175199,-0.3557072430792568,True,True,0.0,0.3557072430792568
