source_id,route_family,subroute,predicates,score_id,K,unit_count,gt_units,gt_total,gt_selected,selected_total,violation_denominator,violation_count,Recall@K,Selected@K_mean,Violation@K
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,20,548,484,3426,2480,10960,10960,5296,0.7238762405137186,20.0,0.4832116788321168
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,50,548,484,3426,3001,27250,27250,16036,0.87594862813777,49.72627737226277,0.5884770642201835
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,100,548,484,3426,3263,52740,52740,35097,0.9524226503210741,96.24087591240875,0.6654721274175199
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH0_source_score,5,548,386,2048,876,2740,2740,1966,0.427734375,5.0,0.7175182481751825
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH0_source_score,10,548,386,2048,1342,5480,5480,3848,0.6552734375,10.0,0.7021897810218978
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH0_source_score,20,548,386,2048,1773,10960,10960,7365,0.86572265625,20.0,0.6719890510948905
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH0_source_score,50,548,386,2048,2001,27250,27250,16384,0.97705078125,49.72627737226277,0.6012477064220183
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH0_source_score,100,548,386,2048,2034,52740,52740,27491,0.9931640625,96.24087591240875,0.5212552142586272
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,5,548,386,2048,607,2740,2740,1170,0.29638671875,5.0,0.42700729927007297
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,10,548,386,2048,979,5480,5480,2310,0.47802734375,10.0,0.4215328467153285
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,20,548,386,2048,1357,10960,10960,4372,0.66259765625,20.0,0.3989051094890511
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,50,548,386,2048,1740,27250,27250,9925,0.849609375,49.72627737226277,0.3642201834862385
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,100,548,386,2048,1897,52740,52740,17572,0.92626953125,96.24087591240875,0.33318164580963217
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,5,548,386,2048,701,2740,2740,2132,0.34228515625,5.0,0.7781021897810219
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,10,548,386,2048,1104,5480,5480,4239,0.5390625,10.0,0.7735401459854014
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,20,548,386,2048,1502,10960,10960,8324,0.7333984375,20.0,0.7594890510948905
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,50,548,386,2048,1831,27250,27250,19091,0.89404296875,49.72627737226277,0.7005871559633028
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,100,548,386,2048,1960,52740,52740,32458,0.95703125,96.24087591240875,0.6154342055365947
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,5,548,386,2048,788,2740,2740,2395,0.384765625,5.0,0.8740875912408759
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,10,548,386,2048,1218,5480,5480,4696,0.5947265625,10.0,0.8569343065693431
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,20,548,386,2048,1621,10960,10960,9128,0.79150390625,20.0,0.8328467153284671
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,50,548,386,2048,1908,27250,27250,20759,0.931640625,49.72627737226277,0.7617981651376147
vlsat_full_validation,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,100,548,386,2048,1975,52740,52740,36310,0.96435546875,96.24087591240875,0.6884717481987107
