level,source_id,route_family,metric,score_id,K,point,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C2_source_x_wrong_T_Ce,100,0.8035714285714286,0.7025215459197415,0.8855326916694324,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C2_source_x_wrong_T_Ce,100,0.6037488708220415,0.5956199254095325,0.6125822941669795,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A1_source_x_G_only,5,0.03125,0.0,0.07368993135011441,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A1_source_x_G_only,5,0.5759678597516436,0.5582754841066861,0.5949689554419284,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A1_source_x_G_only,10,0.09821428571428571,0.04917849824355972,0.15699376702283677,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A1_source_x_G_only,10,0.475676664228237,0.4669698978448885,0.485004068578228,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A1_source_x_G_only,20,0.21875,0.15185019841269842,0.2929690743046907,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A1_source_x_G_only,20,0.4408721359940872,0.433930631272584,0.4469205359807878,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A1_source_x_G_only,50,0.5803571428571429,0.5094317580673602,0.661312118570183,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A1_source_x_G_only,50,0.4863575951841138,0.48330401324855093,0.4893874283789371,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A1_source_x_G_only,100,0.9464285714285714,0.9019324258629072,0.9763802686428903,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A1_source_x_G_only,100,0.4996160794941283,0.49788920583330076,0.5014172170173933,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A2_source_x_TG_concat,5,0.03125,0.0,0.07368993135011441,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A2_source_x_TG_concat,5,0.5843681519357194,0.5644815100429602,0.6042351223074115,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A2_source_x_TG_concat,10,0.08035714285714286,0.03378053534303535,0.13433971447112264,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A2_source_x_TG_concat,10,0.4787856620336503,0.4684243528372108,0.4892260520505393,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A2_source_x_TG_concat,20,0.17410714285714285,0.11157286979752531,0.24511093911248708,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A2_source_x_TG_concat,20,0.44854028085735403,0.4413763170988263,0.45476558425086233,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A2_source_x_TG_concat,50,0.5803571428571429,0.5153061224489796,0.6559152116010654,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A2_source_x_TG_concat,50,0.4870221249315925,0.4837399629943687,0.49011051894572205,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,A2_source_x_TG_concat,100,0.8883928571428571,0.809758631713555,0.9486036500110384,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,A2_source_x_TG_concat,100,0.4981255645889792,0.4963066953291037,0.4998894097496562,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S0_source_score,5,0.02040816326530612,0.0,0.05555555555555555,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S0_source_score,5,0.2673484295105917,0.24862861865511152,0.2840504609863375,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S0_source_score,10,0.1326530612244898,0.06333898452443054,0.23148712737127372,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S0_source_score,10,0.3266276517922458,0.3134819145049324,0.33979552721566375,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S0_source_score,20,0.336734693877551,0.22618087557603686,0.4561654135338345,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S0_source_score,20,0.40382483370288247,0.3929879532236311,0.4134262844149459,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S0_source_score,50,0.5510204081632653,0.5,0.6170369211514393,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S0_source_score,50,0.48018137753107654,0.47426697409729296,0.4856131896274641,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S0_source_score,100,1.0,1.0,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S0_source_score,100,0.5152664859981934,0.5124078032671076,0.5180504403587627,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S1_Ce_only,5,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S1_Ce_only,5,0.0014609203798392988,0.0,0.003656307129798903,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S1_Ce_only,10,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S1_Ce_only,10,0.009875640087783468,0.0047497259773474606,0.015013228560751919,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S1_Ce_only,20,0.17346938775510204,0.03919683257918553,0.3269817073170731,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S1_Ce_only,20,0.02753141167775314,0.019457420212722242,0.035346193608124084,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S1_Ce_only,50,0.9387755102040817,0.8333333333333334,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S1_Ce_only,50,0.13032601047611603,0.1153747802349422,0.14517801201890532,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S1_Ce_only,100,1.0,1.0,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S1_Ce_only,100,0.38785004516711835,0.3794972756536363,0.39603829634482124,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S2_source_x_Ce,5,0.01020408163265306,0.0,0.037505896226415085,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S2_source_x_Ce,5,0.0014609203798392988,0.0,0.003656307129798903,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S2_source_x_Ce,10,0.14285714285714285,0.04898459383753501,0.25,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S2_source_x_Ce,10,0.011338697878566204,0.006393686878115258,0.0166427394083,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S2_source_x_Ce,20,0.46938775510204084,0.3243044515103339,0.6363636363636364,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S2_source_x_Ce,20,0.03270509977827051,0.02463057775783489,0.04080133044615347,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S2_source_x_Ce,50,0.9489795918367347,0.8888888888888888,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S2_source_x_Ce,50,0.1391603471190681,0.124451689173679,0.15350245312783356,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,S2_source_x_Ce,100,1.0,1.0,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,S2_source_x_Ce,100,0.3880758807588076,0.37972344404730485,0.3961724349405426,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C1_source_x_shuffled_Ce,5,0.05102040816326531,0.009433962264150943,0.10228001165501166,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C1_source_x_shuffled_Ce,5,0.414536157779401,0.3967153284671533,0.43321441572503333,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C1_source_x_shuffled_Ce,10,0.11224489795918367,0.05263157894736842,0.1891891891891892,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C1_source_x_shuffled_Ce,10,0.46068032187271396,0.4474423720758868,0.473974321787106,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C1_source_x_shuffled_Ce,20,0.2653061224489796,0.1730603448275862,0.3695760869565217,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C1_source_x_shuffled_Ce,20,0.491869918699187,0.4833208264589087,0.4994432071269488,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C1_source_x_shuffled_Ce,50,0.5306122448979592,0.4188967656180771,0.6385256410256409,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C1_source_x_shuffled_Ce,50,0.4994918301931045,0.4951648944557364,0.5041533477900513,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C1_source_x_shuffled_Ce,100,0.8979591836734694,0.8068090175953079,0.9696969696969697,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C1_source_x_shuffled_Ce,100,0.4943089430894309,0.4924446016999841,0.4963432037852459,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C2_source_x_wrong_T_Ce,5,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C2_source_x_wrong_T_Ce,5,0.9981738495252008,0.9956124314442413,1.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Recall@K,C2_source_x_wrong_T_Ce,10,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,Violation@K,C2_source_x_wrong_T_Ce,10,0.9886613021214338,0.9829919531821507,0.9941413401684365,1000,548
