level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,50,0.2901785714285714,0.18474050826699331,0.3846153846153846,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,50,0.2857142857142857,0.2111019283746557,0.36576388888888883,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,50,0.6696428571428572,0.5602230349971314,0.7611309523809525,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,50,0.0401785714285714,-0.008622563718140998,0.08963432772395039,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,50,-0.32370416699241655,-0.33728100433684993,-0.31085078798342414,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,50,-0.3262059260417481,-0.3400771021032877,-0.31281498615385717,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,50,-0.3268704557892268,-0.34095660316755005,-0.31330460892341794,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,50,-0.3330075834571183,-0.34711323718032183,-0.3196458722118546,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,50,-0.689039168165116,-0.7177200499540882,-0.661798819262223,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,50,0.019779532483777645,0.01720883768657664,0.022594081160499477,1000,548
