audit_id,sufficient,subject_points,object_points,scale_m,center_dz_m,center_dz_norm,bbox_gap_m,bbox_gap_norm,xy_overlap_ratio,local_object_points,local_vertical_gap_m,local_vertical_gap_norm,subject_vertical_aspect
PV-0058,True,1800,1800,2.873316962157207,1.8599999999999999,0.6473354748177741,1.0996711072099015,0.382718343187693,0.0,0,,,0.4419748626796851
PV-0059,True,1686,203,0.7826718254402056,0.603449,0.7710115279294696,0.4404686272635658,0.5627756269568395,0.0,6,,,0.6633840593385603
PV-0060,True,853,300,0.8509253688470861,-0.08000000000000007,-0.09401529549928875,0.9814039674873949,1.1533373000937714,0.0,0,,,0.6766782455743843
PV-0061,True,155,247,0.44422925803736557,-1.2,-2.7013078906636627,1.7891017661313064,4.027428931708995,0.0,0,,,0.13655528808218254
PV-0062,True,157,1546,0.7897420210422912,0.36,0.45584506130859886,1.0515168262961845,1.3314687559722431,0.0,0,,,0.3859798588650397
PV-0063,True,168,555,0.7437731632763487,0.11462300000000003,0.15411015839168143,0.0,0.0,1.0,139,-0.011990250000000036,-0.016120842471893628,0.46350618039590374
PV-0064,True,1800,1800,3.3823000544486836,1.56344,0.4622416624283919,1.034193714055665,0.30576640079445555,0.0,83,0.9831510000000001,0.290675275455493,1.3213146255538757
PV-0065,True,657,1611,0.8220555422542526,0.36,0.4379266138304996,0.0,0.0,1.0,959,-0.05449130000000002,-0.06628664025617197,0.8694266666666669
PV-0066,True,1800,1800,6.003519030829814,-1.325639,-0.22081032694199162,0.020000000000000018,0.0033313794621611438,0.7306754963442113,1800,-2.6404654999999995,-0.4398196268622523,0.022032677161363312
PV-0067,True,825,1800,3.0190028613708595,0.22991000000000006,0.07615428356884804,0.0,0.0,1.0,79,-0.016364999999999963,-0.005420663958088796,1.0360248071134484
PV-0068,True,1800,120,1.3522404300192612,-0.1804,-0.13340822829667237,0.9400000000000002,0.6951426529870955,0.0,0,,,1.9215718831124626
PV-0069,True,176,44,0.557107238977195,-0.6228075,-1.1179310847646233,0.23561149169183154,0.4229194582436151,0.0,3,,,1.130992261308385
PV-0070,True,949,1328,2.338199673420311,0.08782699999999999,0.03756180492127387,0.54,0.23094691447377108,0.0,0,,,0.20879604698597068
PV-0071,True,1389,1360,1.0862951279210518,0.1200000000000001,0.11046721734788201,0.2565207743298001,0.23614280110114158,0.0,0,,,0.8863160130614286
PV-0072,True,96,1800,1.3745750762334747,-0.58,-0.4219485788941263,0.8609193901558089,0.6263167469286921,0.0,0,,,3.0036874999999985
PV-0073,False,71,12,,,,,,,,,,
PV-0074,True,1800,1800,3.5926573170969514,-1.4176865,-0.39460665876854695,0.07999999999999996,0.02226764006110218,0.612582560289763,70,-2.3030453499999997,-0.6410423112274389,3.8930480467013115
PV-0075,True,350,1259,1.414559798796152,-0.105101,-0.07429943936583326,2.5855819,1.827834993049029,0.0,0,,,0.39693039702100996
PV-0076,True,169,167,0.8863797047693849,0.027239000000000013,0.030730622388389365,2.1151379159761663,2.3862661843396733,0.0,0,,,0.12044176404312512
PV-0077,True,1677,1207,1.9563544859555833,-1.04,-0.5316009994436213,0.7329526,0.3746522449084623,0.0,0,,,1.6009748953974916
PV-0078,True,627,1800,1.7599528606688817,-0.5800000000000001,-0.32955428123203667,0.0,0.0,0.7463903851320506,377,-1.133212,-0.6438877002474461,0.7763363324997797
PV-0079,True,103,637,0.7183350988173214,0.2,0.2784215894911487,0.0,0.0,1.0,498,-0.39999999999999997,-0.5568431789822974,0.4761904761904763
PV-0080,True,445,1095,0.8910137829949698,0.38,0.4264804958714598,0.7681768061742037,0.8621379610898122,0.0,0,,,0.7357778470274574
PV-0081,True,1800,1800,5.0089204336947,1.3607740000000002,0.2716701169469886,0.48207500000000003,0.09624329361614752,0.6499553155720544,129,0.422075,0.08426466452945176,1.298181583349478
PV-0082,True,1800,1800,2.983270782161391,0.27,0.09050469089647438,0.0,0.0,1.0,704,-1.6,-0.5363240942013296,1.2022429043623784
PV-0083,True,1190,1800,2.826566751362161,1.5624900000000002,0.5527872282680092,1.38,0.48822480464505535,0.4866172876622562,42,1.44,0.5094519700644057,0.7046314249174114
PV-0084,True,170,1800,1.7089052964913396,-0.5,-0.29258496712871174,0.0,0.0,0.3919883708009014,229,-1.7139099500000001,-1.002928572764644,0.5827094937225553
PV-0085,True,364,158,0.8366998318887673,0.13911099999999998,0.1662615369313158,0.0,0.0,0.029855059992350785,23,-0.21991019999999994,-0.26283045797149784,0.4289528902488284
PV-0086,True,324,1240,3.005149217333731,1.134005,0.3773539741251608,0.07999999999999985,0.026620974272611505,1.0,217,0.06000799999999984,0.019968392801885875,2.518499249107478
PV-0087,True,1800,82,1.192869491304646,-0.05117499999999975,-0.0429007534965367,0.0,0.0,1.0,82,-0.4265030999999999,-0.357543807691428,0.37647058823529406
PV-0088,True,322,224,0.44106041977773464,-1.42,-3.219513554890249,2.656545961526565,6.023088543889948,0.0,0,,,0.3181818181818182
PV-0089,True,1180,204,1.6194192977188826,-1.011451,-0.6245763536501832,1.008958582619506,0.6230372727067827,0.0,0,,,2.1748008522727273
PV-0090,True,1800,325,1.6091935087402662,-1.1400000000000001,-0.7084294050455328,3.0878634104589477,1.918888805906405,0.0,0,,,4.324608068181818
PV-0091,True,718,509,2.200044086036378,-0.9794869999999998,-0.4452124419764031,0.0,0.0,0.6735975249101415,509,-2.0133592,-0.9151449340396122,0.08438776595744683
PV-0092,True,677,1800,2.9397400785746304,-2.7824099999999996,-0.9464816363455798,2.2741526000000003,0.7735896845351891,1.0,133,-3.2,-1.0885316097576763,1.4904292990289654
PV-0093,True,262,1800,2.5950163078356985,-0.9,-0.34681862972592264,0.04278199999999999,0.016486216241038243,0.7644076197136901,149,-1.2220044999999997,-0.4709043624543457,0.6893087965665188
PV-0094,True,229,136,0.5537262097292591,-0.78,-1.4086383961874878,0.7795541810010707,1.4078332708546137,0.0,0,,,1.2314581584102997
PV-0095,True,90,1800,2.6524829237953256,-1.8762800000000002,-0.7073674190955056,1.75402995,0.6612785078707435,1.0,166,-1.96575895,-0.7411014534213395,0.4174560714285708
PV-0096,True,1800,267,1.7801552736860708,-0.7347900000000002,-0.4127673640954423,0.5790485086256073,0.32527977597516144,0.0,129,-0.8234379999999999,-0.46256526729544867,0.025924541284403645
PV-0097,True,1800,1800,1.3315815153042372,0.16000000000000003,0.12015787104362405,0.25037105000000004,0.18802532711847966,0.0,0,,,1.1146189170999525
PV-0098,True,1800,1800,5.089693005688385,-1.658575,-0.3258693595362882,0.0,0.0,1.0,1800,-2.4405417499999995,-0.4795066710845587,0.035129280155642074
